Iterasi,Source,Dest,Path,Node,Energi (Volt),Digunakan
6,A,O,A -> B -> E -> H -> K -> M -> O,K,4.19979,Ya
6,A,O,A -> B -> E -> H -> K -> M -> O,L,4.19979,Ya
6,A,O,A -> B -> E -> H -> K -> M -> O,M,4.19979,Ya
6,A,O,A -> B -> E -> H -> K -> M -> O,N,4.19979,Ya
6,A,O,A -> B -> E -> H -> K -> M -> O,O,4.19979,Ya
7,A,O,A -> B -> E -> H -> K -> M -> O,A,4.199755,Ya
7,A,O,A -> B -> E -> H -> K -> M -> O,B,4.199755,Ya
7,A,O,A -> B -> E -> H -> K -> M -> O,C,4.199755,Ya
7,A,O,A -> B -> E -> H -> K -> M -> O,D,4.199755,Ya
7,A,O,A -> B -> E -> H -> K -> M -> O,E,4.199755,Ya
7,A,O,A -> B -> E -> H -> K -> M -> O,F,4.199755,Ya
7,A,O,A -> B -> E -> H -> K -> M -> O,G,4.199755,Ya
7,A,O,A -> B -> E -> H -> K -> M -> O,H,4.199755,Ya
7,A,O,A -> B -> E -> H -> K -> M -> O,I,4.199755,Ya
7,A,O,A -> B -> E -> H -> K -> M -> O,J,4.199755,Ya
7,A,O,A -> B -> E -> H -> K -> M -> O,K,4.199755,Ya
7,A,O,A -> B -> E -> H -> K -> M -> O,L,4.199755,Ya
7,A,O,A -> B -> E -> H -> K -> M -> O,M,4.199755,Ya
7,A,O,A -> B -> E -> H -> K -> M -> O,N,4.199755,Ya
7,A,O,A -> B -> E -> H -> K -> M -> O,O,4.199755,Ya
8,A,O,A -> B -> E -> H -> K -> M -> O,A,4.19972,Ya
8,A,O,A -> B -> E -> H -> K -> M -> O,B,4.19972,Ya
8,A,O,A -> B -> E -> H -> K -> M -> O,C,4.19972,Ya
8,A,O,A -> B -> E -> H -> K -> M -> O,D,4.19972,Ya
8,A,O,A -> B -> E -> H -> K -> M -> O,E,4.19972,Ya
8,A,O,A -> B -> E -> H -> K -> M -> O,F,4.19972,Ya
8,A,O,A -> B -> E -> H -> K -> M -> O,G,4.19972,Ya
8,A,O,A -> B -> E -> H -> K -> M -> O,H,4.19972,Ya
8,A,O,A -> B -> E -> H -> K -> M -> O,I,4.19972,Ya
8,A,O,A -> B -> E -> H -> K -> M -> O,J,4.19972,Ya
8,A,O,A -> B -> E -> H -> K -> M -> O,K,4.19972,Ya
8,A,O,A -> B -> E -> H -> K -> M -> O,L,4.19972,Ya
8,A,O,A -> B -> E -> H -> K -> M -> O,M,4.19972,Ya
8,A,O,A -> B -> E -> H -> K -> M -> O,N,4.19972,Ya
8,A,O,A -> B -> E -> H -> K -> M -> O,O,4.19972,Ya
9,A,O,A -> B -> E -> H -> K -> M -> O,A,4.199685,Ya
9,A,O,A -> B -> E -> H -> K -> M -> O,B,4.199685,Ya
9,A,O,A -> B -> E -> H -> K -> M -> O,C,4.199685,Ya
9,A,O,A -> B -> E -> H -> K -> M -> O,D,4.199685,Ya
9,A,O,A -> B -> E -> H -> K -> M -> O,E,4.199685,Ya
9,A,O,A -> B -> E -> H -> K -> M -> O,F,4.199685,Ya
9,A,O,A -> B -> E -> H -> K -> M -> O,G,4.199685,Ya
9,A,O,A -> B -> E -> H -> K -> M -> O,H,4.199685,Ya
9,A,O,A -> B -> E -> H -> K -> M -> O,I,4.199685,Ya
9,A,O,A -> B -> E -> H -> K -> M -> O,J,4.199685,Ya
9,A,O,A -> B -> E -> H -> K -> M -> O,K,4.199685,Ya
9,A,O,A -> B -> E -> H -> K -> M -> O,L,4.199685,Ya
9,A,O,A -> B -> E -> H -> K -> M -> O,M,4.199685,Ya
9,A,O,A -> B -> E -> H -> K -> M -> O,N,4.199685,Ya
9,A,O,A -> B -> E -> H -> K -> M -> O,O,4.199685,Ya
10,A,O,A -> B -> E -> H -> K -> M -> O,A,4.19965,Ya
10,A,O,A -> B -> E -> H -> K -> M -> O,B,4.19965,Ya
10,A,O,A -> B -> E -> H -> K -> M -> O,C,4.19965,Ya
10,A,O,A -> B -> E -> H -> K -> M -> O,D,4.19965,Ya
10,A,O,A -> B -> E -> H -> K -> M -> O,E,4.19965,Ya
10,A,O,A -> B -> E -> H -> K -> M -> O,F,4.19965,Ya
10,A,O,A -> B -> E -> H -> K -> M -> O,G,4.19965,Ya
10,A,O,A -> B -> E -> H -> K -> M -> O,H,4.19965,Ya
10,A,O,A -> B -> E -> H -> K -> M -> O,I,4.19965,Ya
10,A,O,A -> B -> E -> H -> K -> M -> O,J,4.19965,Ya
10,A,O,A -> B -> E -> H -> K -> M -> O,K,4.19965,Ya
10,A,O,A -> B -> E -> H -> K -> M -> O,L,4.19965,Ya
10,A,O,A -> B -> E -> H -> K -> M -> O,M,4.19965,Ya
10,A,O,A -> B -> E -> H -> K -> M -> O,N,4.19965,Ya
10,A,O,A -> B -> E -> H -> K -> M -> O,O,4.19965,Ya
11,A,O,A -> B -> E -> H -> K -> M -> O,A,4.199615,Ya
11,A,O,A -> B -> E -> H -> K -> M -> O,B,4.199615,Ya
11,A,O,A -> B -> E -> H -> K -> M -> O,C,4.199615,Ya
11,A,O,A -> B -> E -> H -> K -> M -> O,D,4.199615,Ya
11,A,O,A -> B -> E -> H -> K -> M -> O,E,4.199615,Ya
11,A,O,A -> B -> E -> H -> K -> M -> O,F,4.199615,Ya
11,A,O,A -> B -> E -> H -> K -> M -> O,G,4.199615,Ya
11,A,O,A -> B -> E -> H -> K -> M -> O,H,4.199615,Ya
11,A,O,A -> B -> E -> H -> K -> M -> O,I,4.199615,Ya
11,A,O,A -> B -> E -> H -> K -> M -> O,J,4.199615,Ya
11,A,O,A -> B -> E -> H -> K -> M -> O,K,4.199615,Ya
11,A,O,A -> B -> E -> H -> K -> M -> O,L,4.199615,Ya
11,A,O,A -> B -> E -> H -> K -> M -> O,M,4.199615,Ya
11,A,O,A -> B -> E -> H -> K -> M -> O,N,4.199615,Ya
11,A,O,A -> B -> E -> H -> K -> M -> O,O,4.199615,Ya
12,A,O,A -> B -> E -> H -> K -> M -> O,A,4.19958,Ya
12,A,O,A -> B -> E -> H -> K -> M -> O,B,4.19958,Ya
12,A,O,A -> B -> E -> H -> K -> M -> O,C,4.19958,Ya
12,A,O,A -> B -> E -> H -> K -> M -> O,D,4.19958,Ya
12,A,O,A -> B -> E -> H -> K -> M -> O,E,4.19958,Ya
12,A,O,A -> B -> E -> H -> K -> M -> O,F,4.19958,Ya
12,A,O,A -> B -> E -> H -> K -> M -> O,G,4.19958,Ya
12,A,O,A -> B -> E -> H -> K -> M -> O,H,4.19958,Ya
12,A,O,A -> B -> E -> H -> K -> M -> O,I,4.19958,Ya
12,A,O,A -> B -> E -> H -> K -> M -> O,J,4.19958,Ya
12,A,O,A -> B -> E -> H -> K -> M -> O,K,4.19958,Ya
12,A,O,A -> B -> E -> H -> K -> M -> O,L,4.19958,Ya
12,A,O,A -> B -> E -> H -> K -> M -> O,M,4.19958,Ya
12,A,O,A -> B -> E -> H -> K -> M -> O,N,4.19958,Ya
12,A,O,A -> B -> E -> H -> K -> M -> O,O,4.19958,Ya
13,A,O,A -> B -> E -> H -> K -> M -> O,A,4.199545,Ya
13,A,O,A -> B -> E -> H -> K -> M -> O,B,4.199545,Ya
13,A,O,A -> B -> E -> H -> K -> M -> O,C,4.199545,Ya
13,A,O,A -> B -> E -> H -> K -> M -> O,D,4.199545,Ya
13,A,O,A -> B -> E -> H -> K -> M -> O,E,4.199545,Ya
13,A,O,A -> B -> E -> H -> K -> M -> O,F,4.199545,Ya
13,A,O,A -> B -> E -> H -> K -> M -> O,G,4.199545,Ya
13,A,O,A -> B -> E -> H -> K -> M -> O,H,4.199545,Ya
13,A,O,A -> B -> E -> H -> K -> M -> O,I,4.199545,Ya
13,A,O,A -> B -> E -> H -> K -> M -> O,J,4.199545,Ya
13,A,O,A -> B -> E -> H -> K -> M -> O,K,4.199545,Ya
13,A,O,A -> B -> E -> H -> K -> M -> O,L,4.199545,Ya
13,A,O,A -> B -> E -> H -> K -> M -> O,M,4.199545,Ya
13,A,O,A -> B -> E -> H -> K -> M -> O,N,4.199545,Ya
13,A,O,A -> B -> E -> H -> K -> M -> O,O,4.199545,Ya
14,A,O,A -> B -> E -> H -> K -> M -> O,A,4.19951,Ya
14,A,O,A -> B -> E -> H -> K -> M -> O,B,4.19951,Ya
14,A,O,A -> B -> E -> H -> K -> M -> O,C,4.19951,Ya
14,A,O,A -> B -> E -> H -> K -> M -> O,D,4.19951,Ya
14,A,O,A -> B -> E -> H -> K -> M -> O,E,4.19951,Ya
14,A,O,A -> B -> E -> H -> K -> M -> O,F,4.19951,Ya
14,A,O,A -> B -> E -> H -> K -> M -> O,G,4.19951,Ya
14,A,O,A -> B -> E -> H -> K -> M -> O,H,4.19951,Ya
14,A,O,A -> B -> E -> H -> K -> M -> O,I,4.19951,Ya
14,A,O,A -> B -> E -> H -> K -> M -> O,J,4.19951,Ya
14,A,O,A -> B -> E -> H -> K -> M -> O,K,4.19951,Ya
14,A,O,A -> B -> E -> H -> K -> M -> O,L,4.19951,Ya
14,A,O,A -> B -> E -> H -> K -> M -> O,M,4.19951,Ya
14,A,O,A -> B -> E -> H -> K -> M -> O,N,4.19951,Ya
14,A,O,A -> B -> E -> H -> K -> M -> O,O,4.19951,Ya
15,A,O,A -> B -> E -> H -> K -> M -> O,A,4.199476,Ya
15,A,O,A -> B -> E -> H -> K -> M -> O,B,4.199476,Ya
15,A,O,A -> B -> E -> H -> K -> M -> O,C,4.199476,Ya
15,A,O,A -> B -> E -> H -> K -> M -> O,D,4.199476,Ya
15,A,O,A -> B -> E -> H -> K -> M -> O,E,4.199476,Ya
15,A,O,A -> B -> E -> H -> K -> M -> O,F,4.199476,Ya
15,A,O,A -> B -> E -> H -> K -> M -> O,G,4.199476,Ya
15,A,O,A -> B -> E -> H -> K -> M -> O,H,4.199476,Ya
15,A,O,A -> B -> E -> H -> K -> M -> O,I,4.199476,Ya
15,A,O,A -> B -> E -> H -> K -> M -> O,J,4.199476,Ya
15,A,O,A -> B -> E -> H -> K -> M -> O,K,4.199476,Ya
15,A,O,A -> B -> E -> H -> K -> M -> O,L,4.199476,Ya
15,A,O,A -> B -> E -> H -> K -> M -> O,M,4.199476,Ya
15,A,O,A -> B -> E -> H -> K -> M -> O,N,4.199476,Ya
15,A,O,A -> B -> E -> H -> K -> M -> O,O,4.199476,Ya
16,A,O,A -> B -> E -> H -> K -> M -> O,A,4.199441,Ya
16,A,O,A -> B -> E -> H -> K -> M -> O,B,4.199441,Ya
16,A,O,A -> B -> E -> H -> K -> M -> O,C,4.199441,Ya
16,A,O,A -> B -> E -> H -> K -> M -> O,D,4.199441,Ya
16,A,O,A -> B -> E -> H -> K -> M -> O,E,4.199441,Ya
16,A,O,A -> B -> E -> H -> K -> M -> O,F,4.199441,Ya
16,A,O,A -> B -> E -> H -> K -> M -> O,G,4.199441,Ya
16,A,O,A -> B -> E -> H -> K -> M -> O,H,4.199441,Ya
16,A,O,A -> B -> E -> H -> K -> M -> O,I,4.199441,Ya
16,A,O,A -> B -> E -> H -> K -> M -> O,J,4.199441,Ya
16,A,O,A -> B -> E -> H -> K -> M -> O,K,4.199441,Ya
16,A,O,A -> B -> E -> H -> K -> M -> O,L,4.199441,Ya
16,A,O,A -> B -> E -> H -> K -> M -> O,M,4.199441,Ya
16,A,O,A -> B -> E -> H -> K -> M -> O,N,4.199441,Ya
16,A,O,A -> B -> E -> H -> K -> M -> O,O,4.199441,Ya
17,A,O,A -> B -> E -> H -> K -> M -> O,A,4.199406,Ya
17,A,O,A -> B -> E -> H -> K -> M -> O,B,4.199406,Ya
17,A,O,A -> B -> E -> H -> K -> M -> O,C,4.199406,Ya
17,A,O,A -> B -> E -> H -> K -> M -> O,D,4.199406,Ya
17,A,O,A -> B -> E -> H -> K -> M -> O,E,4.199406,Ya
17,A,O,A -> B -> E -> H -> K -> M -> O,F,4.199406,Ya
17,A,O,A -> B -> E -> H -> K -> M -> O,G,4.199406,Ya
17,A,O,A -> B -> E -> H -> K -> M -> O,H,4.199406,Ya
17,A,O,A -> B -> E -> H -> K -> M -> O,I,4.199406,Ya
17,A,O,A -> B -> E -> H -> K -> M -> O,J,4.199406,Ya
17,A,O,A -> B -> E -> H -> K -> M -> O,K,4.199406,Ya
17,A,O,A -> B -> E -> H -> K -> M -> O,L,4.199406,Ya
17,A,O,A -> B -> E -> H -> K -> M -> O,M,4.199406,Ya
17,A,O,A -> B -> E -> H -> K -> M -> O,N,4.199406,Ya
17,A,O,A -> B -> E -> H -> K -> M -> O,O,4.199406,Ya
18,A,O,A -> B -> E -> H -> K -> M -> O,A,4.199371,Ya
18,A,O,A -> B -> E -> H -> K -> M -> O,B,4.199371,Ya
18,A,O,A -> B -> E -> H -> K -> M -> O,C,4.199371,Ya
18,A,O,A -> B -> E -> H -> K -> M -> O,D,4.199371,Ya
18,A,O,A -> B -> E -> H -> K -> M -> O,E,4.199371,Ya
18,A,O,A -> B -> E -> H -> K -> M -> O,F,4.199371,Ya
18,A,O,A -> B -> E -> H -> K -> M -> O,G,4.199371,Ya
18,A,O,A -> B -> E -> H -> K -> M -> O,H,4.199371,Ya
18,A,O,A -> B -> E -> H -> K -> M -> O,I,4.199371,Ya
18,A,O,A -> B -> E -> H -> K -> M -> O,J,4.199371,Ya
18,A,O,A -> B -> E -> H -> K -> M -> O,K,4.199371,Ya
18,A,O,A -> B -> E -> H -> K -> M -> O,L,4.199371,Ya
18,A,O,A -> B -> E -> H -> K -> M -> O,M,4.199371,Ya
18,A,O,A -> B -> E -> H -> K -> M -> O,N,4.199371,Ya
18,A,O,A -> B -> E -> H -> K -> M -> O,O,4.199371,Ya
19,A,O,A -> B -> E -> H -> K -> M -> O,A,4.199336,Ya
19,A,O,A -> B -> E -> H -> K -> M -> O,B,4.199336,Ya
19,A,O,A -> B -> E -> H -> K -> M -> O,C,4.199336,Ya
19,A,O,A -> B -> E -> H -> K -> M -> O,D,4.199336,Ya
19,A,O,A -> B -> E -> H -> K -> M -> O,E,4.199336,Ya
19,A,O,A -> B -> E -> H -> K -> M -> O,F,4.199336,Ya
19,A,O,A -> B -> E -> H -> K -> M -> O,G,4.199336,Ya
19,A,O,A -> B -> E -> H -> K -> M -> O,H,4.199336,Ya
19,A,O,A -> B -> E -> H -> K -> M -> O,I,4.199336,Ya
19,A,O,A -> B -> E -> H -> K -> M -> O,J,4.199336,Ya
19,A,O,A -> B -> E -> H -> K -> M -> O,K,4.199336,Ya
19,A,O,A -> B -> E -> H -> K -> M -> O,L,4.199336,Ya
19,A,O,A -> B -> E -> H -> K -> M -> O,M,4.199336,Ya
19,A,O,A -> B -> E -> H -> K -> M -> O,N,4.199336,Ya
19,A,O,A -> B -> E -> H -> K -> M -> O,O,4.199336,Ya
20,A,O,A -> B -> E -> H -> K -> M -> O,A,4.199301,Ya
20,A,O,A -> B -> E -> H -> K -> M -> O,B,4.199301,Ya
20,A,O,A -> B -> E -> H -> K -> M -> O,C,4.199301,Ya
20,A,O,A -> B -> E -> H -> K -> M -> O,D,4.199301,Ya
20,A,O,A -> B -> E -> H -> K -> M -> O,E,4.199301,Ya
20,A,O,A -> B -> E -> H -> K -> M -> O,F,4.199301,Ya
20,A,O,A -> B -> E -> H -> K -> M -> O,G,4.199301,Ya
20,A,O,A -> B -> E -> H -> K -> M -> O,H,4.199301,Ya
20,A,O,A -> B -> E -> H -> K -> M -> O,I,4.199301,Ya
20,A,O,A -> B -> E -> H -> K -> M -> O,J,4.199301,Ya
20,A,O,A -> B -> E -> H -> K -> M -> O,K,4.199301,Ya
20,A,O,A -> B -> E -> H -> K -> M -> O,L,4.199301,Ya
